user_id,amount,hour,device_change,location_change,fraud
1102,674.9253868375398,9,1,0,0
1435,924.505631495171,20,1,1,0
1860,558.1185043919768,8,1,0,0
1270,301.58561221669885,20,1,0,0
1106,1629.7167870591397,12,0,0,0
1071,360.74437933704166,9,0,0,0
1700,565.9095706892563,5,1,1,0
1020,2377.7404588591826,10,0,0,0
1614,539.5312725451578,3,1,0,0
1121,198.0340714636182,13,0,1,0
1466,1145.4897242424022,16,1,0,0
1214,746.6116314013649,19,0,1,0
1330,2172.7075191133313,1,0,1,1
1458,323.98222323839667,9,0,1,0
1087,4180.208149359383,2,0,1,1
1372,7100.84351066846,6,1,0,0
1099,4081.1217395660833,6,1,1,0
1871,2283.167160878892,0,0,0,0
1663,5912.683276532117,7,0,1,0
1130,3561.5277927042575,22,0,1,0
1661,31.8215406185124,0,0,0,0
1308,1503.0722128030475,7,1,0,0
1769,5710.458607078751,13,0,1,0
1343,1273.2964119475448,13,0,0,0
1491,107.55054075912416,1,0,1,1
1413,4113.38550170828,7,0,0,0
1805,4859.044653678969,18,0,1,0
1385,525.1812505345285,9,0,0,0
1191,2312.2917293814317,6,0,0,0
1955,639.4142166719055,12,0,1,0
1276,3810.7055678608376,21,1,1,0
1160,950.5107442196461,20,0,1,0
1459,1140.3357524961516,14,0,0,0
1313,5592.426416126356,10,0,0,0
1021,1940.6368797805305,13,0,1,0
1252,3323.756441999476,10,1,0,0
1747,1544.365651003137,1,0,1,1
1856,1061.49492925892,1,1,0,0
1560,2946.314682285161,11,1,0,0
1474,504.7503433264254,14,1,0,0
1058,1400.4254282863312,16,1,1,0
1510,703.5124074224356,13,0,0,0
1681,3570.160062188601,15,1,0,0
1475,8658.419446319504,7,1,0,0
1699,16218.3545826174,23,0,0,1
1975,1795.021257484165,16,1,1,0
1782,873.1848887272996,4,1,0,0
1189,1754.651247401844,11,1,0,0
1957,5637.239277410771,5,1,0,0
1686,692.0369087680241,17,0,0,0
1957,9115.646996991165,4,1,1,1
1562,1255.0391090242153,5,0,0,0
1875,12764.313166065678,8,0,0,1
1566,5471.773769785863,14,0,0,0
1243,4959.707588217089,9,1,0,0
1831,1147.75756914074,16,1,1,0
1504,26.447875692528008,18,0,0,0
1130,1444.4457224369849,11,0,0,0
1484,1077.7893124247105,8,0,1,0
1818,114.34258678453915,14,0,0,0
1646,2111.8070421626,13,0,1,0
1020,1547.6718440242223,0,0,0,0
1840,3019.9305186979946,16,1,0,0
1166,2912.1324302098346,0,1,0,0
1273,386.0465445893929,22,1,0,0
1387,11312.292568298499,20,0,0,1
1600,620.8194910815587,21,1,0,0
1315,1767.8430764381487,12,0,0,0
1013,2008.980771955442,7,0,0,0
1241,5030.94759751483,12,1,0,0
1776,313.5146324439489,15,0,0,0
1345,1679.2298540331526,1,1,0,0
1564,2970.636769984757,12,1,0,0
1897,726.8094748792985,17,1,1,0
1339,2962.296201199249,2,0,0,0
1091,7717.864806454418,12,0,1,0
1366,17996.230329549962,18,0,1,1
1955,98.96786619607278,12,1,0,0
1454,805.9460002221509,18,0,1,0
1427,1114.526627476368,3,1,0,0
1508,1528.1105525215053,18,0,0,0
1775,832.23362678456,17,1,1,0
1942,682.5392309894693,5,1,1,0
1034,9273.681010714974,18,0,1,0
1205,7522.252075620298,3,0,0,0
1080,144.3975195807245,3,1,1,1
1931,1241.1558213792746,23,1,1,0
1561,1558.3307239710139,6,0,1,0
1871,819.423062197413,6,1,0,0
1387,2973.6320379840345,22,0,0,0
1001,3068.1283103523883,15,0,1,0
1389,5701.4615090574,15,1,1,0
1565,4051.2677680777815,4,0,1,1
1105,2346.4160539007703,14,1,1,0
1771,3180.368730932299,22,0,1,0
